Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
211,01,8. Jan. 2018,"Katharina Bischoff, Thomas Walzer, Renate Peltzer, Ronald Stelzer",Klaus Otto Nagorsnik,01 Min. 16 Sek.,Katharina (alle ausgeschieden) mit 11 + 1 Punkten,000.500 €,,,
212,02,23. Apr. 2018,"Jan Eric Schnellbacher, Martina Druckenthaner, Thomas Mehlbeer, Gerti Stegmann",Sebastian Jacoby,01 Min. 18 Sek.,"Jan, Martina mit 13 + 1 Punkten",0 8.500 €,,,
213,03,24. Apr. 2018,"Christian Hansen, Marietta Junig, Frank Linz, Sabine Majer",Klaus Otto Nagorsnik,11 Punkte,"Christian, Frank, Sabine mit 13 + 5 Punkten",025.500 €,,,
214,04,25. Apr. 2018,"Petra Köhler, Anais Mbala, Christian Gebhard, Jennifer Hartung",Sebastian Klussmann,01 Min. 47 Sek.,Petra mit 13 + 2 Punkten,003.500 €,,,
215,05,26. Apr. 2018,"Joana Schmidt, Ralf Kussowski, Melanie Messow, Julian Goede",Sebastian Jacoby,01 Min. 36 Sek.,"Joana, Julian mit 14 + 1 Punkten",004.250 €,,,
216,06,27. Apr. 2018,"Jutta Schottstedt, Tobias Lange, Laura Klemm, Wolfgang Flohr",Klaus Otto Nagorsnik,01 Min. 33 Sek.,"Jutta, Tobias, Laura, Wolfgang mit 17 + 1 Punkten",012.000 €,,,
217,07,30. Apr. 2018,"Lilian Sommerfeld, Daniel Kinkel, Benjamin Schmidt, Sabine Vollbrecht",Sebastian Jacoby,01 Min. 28 Sek.,"Lili, Sabine mit 13 Punkten",004.400 €,,,
218,08,2. Mai 2018,"Christopher Witt, Maren Mielke, Eduardo da Silva Monteiro, Katharina Schmidt",Klaus Otto Nagorsnik,01 Min. 15 Sek.,Maren (alle ausgeschieden) mit 12 Punkten,000.500 €,,,
219,09,3. Mai 2018,"Sabine Gleinige, Michael Sträßer, Tanja Gems, Markus Gärtner",Sebastian Jacoby,14 Punkte,"Sabine, Michael, Markus mit 15 + 4 Punkten",003.754 €,,,
220,10,4. Mai 2018,"Moritz Flesch, Jannett Mallon, Dirk Heinenberg, Katharina Götz",Sebastian Klussmann,01 Min. 34 Sek.,"Jannett, Dirk mit 12 + 3 Punkten",006.000 €,,,
221,11,7. Mai 2018,"Sophie Lieb, Achim Leopold, Tim Dassler, Susanne Lang",Sebastian Klussmann,10 Punkte,"Sophie, Achim, Tim mit 16 + 5 Punkten",007.500 €,,,
222,12,8. Mai 2018,"Michael Sandner, Gelareh Shahpar, Wolfgang Schneeloch, Melanie Gross",Sebastian Jacoby,01 Min. 42 Sek.,"Michael, Gelareh mit 9 Punkten",005.500 €,,,
223,13,9. Mai 2018,"Alexandra Kunz, Magnus Gielessen, Michael Kirschbaum, Vera Bonn",Sebastian Klussmann,01 Min. 09 Sek.,Michael mit 11 Punkten,004.000 €,,,
224,14,11. Mai 2018,"Jutta Resing, Niklas Buhl, Thomas Knaack, Martina Mikulasch",Klaus Otto Nagorsnik,01 Min. 33 Sek.,Niklas (alle ausgeschieden) mit 11 + 3 Punkten,000.500 €,,,
225,15,14. Mai 2018,"Dorothea Callhoff, Hartmut Knierim, Sylvia Burdach, Patrick Hasenberg",Klaus Otto Nagorsnik,13 Punkte,"Dorothea, Hartmut, Sylvia, Patrick mit 16 + 3 Punkten",026.500 €,,,
226,16,15. Mai 2018,"Karl-Herrmann Stein, Isabel Pereira, Hans Hammer, Daniela Hellmuth",Sebastian Jacoby,01 Min. 54 Sek.,Isabell mit 10 Punkten,001.000 €,,,
227,17,16. Mai 2018,"Oliver Altmann, Daniel Hoffmann, Susan Mehringer, Nicola Busse",Sebastian Klussmann,01 Min. 11 Sek.,Oliver mit 11 Punkten,010.000 €,,,
228,18,17. Mai 2018,"Astrid Euler, Carsten John, Margit Schmitz, Jonas Klimm",Sebastian Jacoby,14 Punkte,"Astrid, Margit mit 16 + 3 Punkten",004.750 €,,,
229,19,18. Mai 2018,"Dorothea Burtchen-Bataineh, Joshua Clausnitzer, Wolfgang Gerhold, Kerstin Petzold",Klaus Otto Nagorsnik,01 Min. 17 Sek.,"Dorothea, Wolfgang mit 8 + 1 Punkten",007.500 €,,,
230,20,22. Mai 2018,"Helga Kaufmann, Manfred Lachmann, Matthias Gruber, Saskia Klingelschmitt",Sebastian Klussmann,10 Punkte,Manfred mit 15 + 4 Punkten,003.000 €,,,
231,21,23. Mai 2018,"Joachim John, Ulrike Stockhausen, Marianne Lehmann, Ronny Menzel",Klaus Otto Nagorsnik,11 Punkte,Ulrike mit 13 + 2 Punkten,002.500 €,,,
232,22,24. Mai 2018,"Sandra Vogt, Ronald Bartsch, Bettina Kibscholl, Tobias Dierfeld",Manuel Hobiger,01 Min. 58 Sek.,Sandra mit 12 + 1 Punkten,004.000 €,,,
233,23,25. Mai 2018,"Hermann Wegner, Annie Meyer, Marco Heyer, Betty Erath",Sebastian Jacoby,01 Min. 53 Sek. (fehlerlos),Betty (alle ausgeschieden) mit 10 Punkten,000.500 €,,,
234,24,28. Mai 2018,"Errol Dogan, Inga Lipowski, Wolfgang Bucher, Annette Heil",Sebastian Klussmann,01 Min.,Inga mit 7 Punkten,002.500 €,,,
235,25,29. Mai 2018,"Lieselotte Klein, Robert Atzler, Richard Wernecke, Elke Sauer",Manuel Hobiger,01 Min. 35 Sek.,Robert mit 13 + 2 Punkten,004.000 €,,,
236,26,30. Mai 2018,"Eva Friedl, Tobias Schmiedeberg, Petra Maneval, Franz Irmer",Sebastian Jacoby,01 Min. 49 Sek.,"Petra, Franz mit 13 + 3 Punkten",052.000 €,,,
237[Anm. 5],27,31. Mai 2018,"Sarah Wieding, Gerhard Marks, Inge Rasmussen, Stephan Biedermann",Manuel Hobiger,15 Punkte,"Sarah, Gerhard, Inge, Stephan mit 17 + 3 Punkten",029.500 €,,,
238,28,1. Juni 2018,"Johanna Glittenberg, Wolfgang Kressin, Monja Tam, Lars Fröhling",Klaus Otto Nagorsnik,01 Min. 53 Sek.,"Wolfgang, Monja mit 8 Punkten",042.500 €,,,
239,29,4. Juni 2018,"Lara Buß, Helmut Hüller, Mandy Wendt, Maximilian (Max) Eichenlaub",Manuel Hobiger,01 Min. 15 Sek.,Helmut mit 7 + 1 Punkten,001.000 €,,,
240,30,5. Juni 2018,"Stefanie (Steffi) Burbulla, Ulrich (Uli) Stang-von de Fenn, Andrea Israel, Patrick Buchmann",Sebastian Jacoby,13 Punkte 0(14 nötig),"Steffi, Uli, Patrick mit 13 + 6 Punkten",034.500 €,,,
241,31,6. Juni 2018,"Judith Hupfer, Essam Shurbaji, Janine-Kristin Reibig, Wolf-Dieter Wichmann",Sebastian Klussmann,01 Min. 47 Sek.,Judith mit 7 Punkten,001.000 €,,,
242,32,7. Juni 2018,"Zeliha Michailov, Hans Jörg Richter, Karin Fieguth, Jean-Marc Burmester",Manuel Hobiger,01 Min. 42 Sek.,Zeliha mit 6 Punkten,001.250 €,,,
243,33,8. Juni 2018,"Volker Maschinsky, Juliane-Maria Christoph, Max Gödecke, Ute Görner",Klaus Otto Nagorsnik,01 Min. 15 Sek.,Volker mit 12 Punkten,001.500 €,,,
244,34,11. Juni 2018,"Hannelore Rönicke, Markus Janasek, Luc Goossens, Carina Ehrig",Sebastian Jacoby,01 Min. 12 Sek.,"Hannelore, Luc mit 10 + 1 Punkten",004.000 €,,,
245,35,12. Juni 2018,"Thomas (Tom) Rothfeld, Ilona Stoldt, Dinah Gajewski, Wilhelm Westbrink",Klaus Otto Nagorsnik,16 Punkte,"Tom, Ilona mit 18 + 3 Punkten",048.000 €,,,
246,36,13. Juni 2018,"Erik Langnickel, Jasmin Ehrhardt, Eva Opitz, Marc-Hendrik Grages",Sebastian Klussmann,01 Min. 27 Sek. (fehlerlos),Eva mit 6 Punkten,001.000 €,,,
247[Anm. 6],37,21. Juni 2018,"Ting Chen, Dagmar Kink, Sven Becker, Sylvia Gohlke",Sebastian Klussmann,09 Punkte,Dagmar mit 12 + 6 Punkten,002.500 €,,,
248,38,22. Juni 2018,"Werner Matthies, Pia Christiansen, Marcus Zyla, Annette Biller",Klaus Otto Nagorsnik,12 Punkte,Annette mit 19 + 5 Punkten,070.000 €,,,
249[Anm. 7][15],39,25. Juni 2018,"Stefanie Haas, Michael Buscher, Osta Oesterreich, Andreas Bräuning",Klaus Otto Nagorsnik,01 Min. 36 Sek.,Michael (alle ausgeschieden) mit 15 + 1 Punkten,000.500 €,,,
250,40,29. Juni 2018,"Hartmut Florkowski, Sevcan Othersen, Jochen Heimann, Gisela Sölch-Hollenbach",Sebastian Klussmann,01 Min. 56 Sek.,"Hartmut, Jochen, Gisela mit 15 + 4 Punkten",006.500 €,,,
251,41,2. Juli 2018,"Clemens Krause, Henrike Bubenzer, Philipp Epstein, Christina Wippel",Sebastian Jacoby,01 Min. 05 Sek.,Henrike (alle ausgeschieden) mit 9 Punkten,000.500 €,,,
252,42,4. Juli 2018,"Irene Hoffmann, Adrian Riesen, Beatrix Schenkel, Klaus Günther",Sebastian Klussmann,05 Punkte,"Irene, Beatrix mit 13 + 6 Punkten",005.000 €,,,
253,43,5. Juli 2018,"Katrin Pöhlmann, Gottlieb Poelmeyer, Christine Brügmann, Dominik Neu",Manuel Hobiger,01 Min. 39 Sek.,Katrin mit 12 + 2 Punkten,001.500 €,,,
254[16],44,9. Juli 2018,"Henrik Bathke, Mareike Benecke, Jenny Henze, Jörg Holsten",Sebastian Klussmann,01 Min. 55 Sek.,Mareike mit 12 + 1 Punkten,001.500 €,,,
255,45,10. Juli 2018,"Ina Petschick, Bernhard Staffa, Thea Renate Eis, Tim Gramse",Klaus Otto Nagorsnik,13 Punkte,Bernhard mit 17 + 4 Punkten,003.500 €,,,
256,46,11. Juli 2018,"Sonja Dargatz, Hermann Schulz, Beatrice Schröder, Sven Benninghaus",Sebastian Jacoby,01 Min. 24 Sek.,"Hermann, Beatrice, Sven mit 14 + 1 Punkten",059.000 €,,,
257,47,12. Juli 2018,"Carla Schaudt, Farshad Tawalalli, Astrid Benecke-Jahanbin, Lukas Günther",Klaus Otto Nagorsnik,01 Min. 36 Sek.,"Carla, Farshad, Astrid mit 16 Punkten",049.500 €,,,
258,48,13. Juli 2018,"Karen Knolle, Jürgen Petersen, Monika Barth, Lutz Schnelle",Manuel Hobiger,13 Punkte,"Karen, Lutz mit 18 + 3 Punkten",041.000 €,,,
259,49,16. Juli 2018,"Daniela Pusskacs, Eduard Meister, Christina Maria Menke, Frederik Schiek",Sebastian Klussmann,01 Min. 28 Sek.,"Daniela, Eduard, Frederik mit 10 Punkten",009.000 €,,,
260,50,17. Juli 2018,"Angelina Schwotzer, Thomas Rückmann, Martina Burghardt, Christian Bauer",Manuel Hobiger,16 Punkte,"Thomas, Martina, Christian mit 22 + 2 Punkten",024.000 €,,,
261,51,18. Juli 2018,"Bianca Görke, Adrian Schneider, Justina Matosin, Joachim Hallmann",Sebastian Jacoby,01 Min. 01 Sek.,"Bianca, Justina mit 10 Punkten",003.000 €,,,
262,52,19. Juli 2018,"Gregor Schlichting-Reinecke, Andrea Müller, Karl-Heinz Steinbüchel, Xenia Goretzki",Klaus Otto Nagorsnik,01 Min. 11 Sek.,Karl-Heinz mit 12 Punkten,002.500 €,,,
263,53,20. Juli 2018,"Marion Neumer, Frank Battermann, Theresia Duisen, Horst Göhre",Sebastian Jacoby,01 Min. 06 Sek.,Frank mit 9 Punkten,002.500 €,,,
264,54,23. Juli 2018,"Ramona Rolf, Günter Wiese, Jasmin Miah, Patrick Soares Bastiao",Sebastian Jacoby,01 Min. 59 Sek.,"Ramona, Günter, Jasmin mit 16 + 4 Punkten",012.500 €,,,
265,55,24. Juli 2018,"Michel Ortland, Monika Vollmer, Andreas Sicora, Marianne Mohr",Sebastian Klussmann,01 Min. 01 Sek.,Andreas (alle ausgeschieden) mit 8 + 1 Punkten,000.500 €,,,
266,56,25. Juli 2018,"Andreas Reich, Claudia Nickl, Andreas Westermeier, Xenie Bojanovska",Klaus Otto Nagorsnik,10 Punkte,"Andreas, Andreas mit 21 + 6 Punkten",007.500 €,,,
267,57,26. Juli 2018,"Christoph Schrader, Luise Jahn, Jens Drößler, Christian Bahlecke",Sebastian Jacoby,01 Min. 37 Sek.,"Luise, Jens mit 15 + 2 Punkten",006.000 €,,,
268,58,27. Juli 2018,"Stefanie Weis, Ulrich Seutter, Wiebke Diesenbacher, Felix Malek",Sebastian Klussmann,01 Min. 57 Sek.,"Stefanie, Ulrich, Wiebke, Felix mit 17 + 2 Punkten",024.500 €,,,
269,59,30. Juli 2018,"Stefan Fitzner, Ute Höhfeld, Sabine Schelz, Rainer Bartel",Sebastian Klussmann,01 Min. 56 Sek.,"Stefan, Ute, Sabine, Rainer mit 18 + 1 Punkten",038.000 €,,,
270,60,31. Juli 2018,"Wolfgang Günther, Daniel Neuhaus, Tilo Kleßig, Mareike Ekmayer",Sebastian Jacoby,01 Min. 18 Sek.,Wolfgang (alle ausgeschieden) mit 10 + 1 Punkten,000.500 €,,,
271,61,1. Aug. 2018,"Norbert Raitor, Barbara Catrin Parr, Andreas Lengenfelder, Lena Ludin",Manuel Hobiger,01 Min.,Norbert mit 10 Punkten,002.000 €,,,
272,62,2. Aug. 2018,"Rudolf Schuster, Janne Blum, Dennis Braun, Doris Rohe",Sebastian Klussmann,01 Min. 15 Sek.,Rudolf mit 11 + 1 Punkten,002.000 €,,,
273,63,3. Aug. 2018,"Vanessa Meyer, Morten Gardthausen, Melanie Kursawe, Daniel Neuthe",Klaus Otto Nagorsnik,01 Min. 53 Sek.,"Morten, Daniel mit 17 + 1 Punkten",005.500 €,,,
274,64,7. Aug. 2018,"Peter Engel, Maren Lach, Rolf Kuntze, Simone Köhl",Sebastian Klussmann,01 Min. 58 Sek.,Rolf mit 11 Punkten,030.000 €,,,
275,65,9. Aug. 2018,"Niklas Rohde, Markus Langer, Karl Nagele, Gabriele Haar",Klaus Otto Nagorsnik,01 Min. 48 Sek.,"Markus, Karl mit 15 + 2 Punkten",006.500 €,,,
276[17],66,13. Aug. 2018,"Jutta Krenberger, Leonard Elste, Alexandra Trentz, Berthold Laschewski",Sebastian Jacoby,01 Min. 48 Sek.,"Leonard, Alexandra mit 14 + 2 Punkten",006.000 €,,,
277,67,14. Aug. 2018,"Karl-Heinz (Carlos) Reich, Alisa Guschker, Nico Schäfer, Heike Schulz",Klaus Otto Nagorsnik,01 Min. 54 Sek.,"Carlos, Nico mit 12 + 1 Punkten",016.000 €,,,
278,68,15. Aug. 2018,"Heike Hüsch, Harald Fuhnert, Vanessa Höhne, Ricky Mattischeck",Thomas Kinne,09 Punkte,"Vanessa, Ricky mit 12 + 3 Punkten",008.500 €,,,
279,69,16. Aug. 2018,"Alexander Gehring, Margot Piotrowicz, Robert Püstow, Alexandra Donner",Sebastian Jacoby,01 Min. 16 Sek.,Robert (alle ausgeschieden) mit 11 + 1 Punkten,000.500 €,,,
280,70,17. Aug. 2018,"Christoph Bernig, Angela Brand, Hartmut Contenius, Dennis Krause",Sebastian Klussmann,09 Punkte,"Christoph, Angela, Hartmut mit 15 + 5 Punkten",025.000 €,,,
XXL 4,S5,18. Aug. 2018,"Team „Schauspiel“: Meret Becker, Anna Thalbach, Ann-Kathrin Kramer, Christine Neubauer",Klaus Otto Nagorsnik,01 Min. 33 Sek.,"Meret, Anna, Ann-Kathrin mit 15 + 1 Punkten",017.500 €,,,
XXL 4,S5,18. Aug. 2018,"Team „Sport“: Ralf Moeller, Matthias Steiner, Lars Riedel, Mario Basler",Manuel Hobiger,01 Min. 16 Sek.,"Ralf, Matthias mit 12 Punkten",013.500 €,,,
XXL 4,S5,18. Aug. 2018,"Team „Spezial“: Natalia Wörner, Jimi Blue Ochsenknecht, Sarah Wiener, Joachim Llambi",Sebastian Jacoby,01 Min. 58 Sek. (fehlerlos),"Jimi Blue, Joachim mit 14 Punkten",052.500 €,,,
XXL 4,S5,18. Aug. 2018,"Team „Entertainment“: Ruth Moschner, Ross Antony, Lilo Wanders, Thomas Hermanns",Sebastian Klussmann,05 Punkte,Thomas mit 19 + 6 Punkten,060.000 €,,,
281[18],71,20. Aug. 2018,"Lion Thielitz, Andrea Hoops, Klaus Hoffmann, Silke Buchholz",Klaus Otto Nagorsnik,09 Punkte,"Lion, Silke mit 11 + 5 Punkten",043.500 €,,,
282,72,21. Aug. 2018,"Angelo Pojer, Monika Ziche, Matthias Dalwig, Patricia Butt",Thomas Kinne,01 Min. 51 Sek.,"Angelo, Monika, Matthias mit 14 + 2 Punkten",017.500 €,,,
283,73,22. Aug. 2018,"Anja Prietl, Carsten Berger, Hans-Jürgen Kandler, Sven Lehmann",Sebastian Klussmann,01 Min. 22 Sek.,"Carsten, Hans-Jürgen mit 14 + 1 Punkten",005.500 €,,,
284,74,23. Aug. 2018,"Moritz Schanz, Manuela Robert-Zumstein, Rosalie Kreuijer, Yared Dibaba",Thomas Kinne,01 Min. 32 Sek.,"Moritz, Manuela, Rosalie mit 12 Punkten",005.750 €,,,
285,75,24. Aug. 2018,"Christoph Klasen, Mareike Nissen, Andreas Godehardt, Melanie Freitag",Sebastian Jacoby,01 Min. 39 Sek.,"Christoph, Andreas, Melanie mit 11 + 3 Punkten",037.000 €,,,
286,76,27. Aug. 2018,"Christian Benkenstein, Arne Norman Jant, Katja Feuerstein, Martin Wonde",Manuel Hobiger,14 Punkte,"Christian, Martin mit 18 + 4 Punkten",008.000 €,,,
287,77,28. Aug. 2018,"Bianca Schmaltz, Arend Jouke Kingma, Erika Pfeiffer, Stefan Parting",Sebastian Jacoby,01 Min. 35 Sek.,"Arend, Erika, Stefan mit 13 + 3 Punkten",043.500 €,,,
288,78,29. Aug. 2018,"Ersin Özdemircelik, Monika Wittkowsky, Konrad Kopper, Theresa Haacke",Klaus Otto Nagorsnik,16 Punkte,"Ersin, Monika, Theresa mit 18 + 3 Punkten",009.500 €,,,
289,79,30. Aug. 2018,"Bastian Gremerich, Elle Buchborn-Klos, Frieder Junghanns, Manuela Grüneberg",Sebastian Klussmann,01 Min. 59 Sek.,Bastian mit 9 Punkten,002.500 €,,,
290,80,31. Aug. 2018,"Robert Kropf, Erwin Dechert, Karin Schäffer, Frederic Hillmann",Thomas Kinne,01 Min. 03 Sek.,"Erwin, Frederic mit 11 Punkten",038.000 €,,,
291,81,3. Sep. 2018,"Marco Hamacher, Teresa Dörries, Michael Mesche, Petra Piper",Sebastian Jacoby,02 Min.,"Marco, Teresa, Petra mit 19 + 5 Punkten",007.000 €,,,
292,82,5. Sep. 2018,"Michael Becker, Vanessa Engelhardt, Heike Ulrich, Bastian Maximilian Fischer",Thomas Kinne,07 Punkte,"Heike, Bastian mit 14 + 6 Punkten",005.500 €,,,
293,83,6. Sep. 2018,"Alfons Schlofer, Marija Galic, Georg Helfer, Matthias Tschakert",Sebastian Klussmann,01 Min. 57 Sek.,Alfons (alle ausgeschieden) mit 16 + 3 Punkten,000.500 €,,,
294,84,7. Sep. 2018,"Carin Dinter, Samuel Bellinghausen, Julia Johnson, Werner Süs",Klaus Otto Nagorsnik,15 Punkte,"Carin, Samuel, Werner mit 16 + 3 Punkten",007.000 €,,,
295,85,10. Sep. 2018,"Dennis Mispelbaum, Erika Konetzny, Henning von Speßhardt, Sarah Zeier",Thomas Kinne,01 Min. 55 Sek.,Erika mit 15 + 1 Punkten,003.000 €,,,
296,86,11. Sep. 2018,"Elif Ebci, Daniel Pinsker, Gudrun Holz, Benjamin Küchenhoff",Sebastian Jacoby,01 Min. 56 Sek.,"Elif, Gudrun mit 11 + 6 Punkten",004.500 €,,,
297,87,12. Sep. 2018,"Tobias Kalinowski, Alexandra Nunes Claro, Gabriele Knick, Benjamin Liedtke",Sebastian Klussmann,01 Min. 09 Sek.,Alexandra mit 11 Punkten,020.000 €,,,
298,88,13. Sep. 2018,"Markus Welker, Erika Sorge, Jens Hirschfeld, Christin Gonsior",Thomas Kinne,13 Punkte,"Erika, Jens, Christin mit 16 + 3 Punkten",008.500 €,,,
299,89,14. Sep. 2018,"Nadine Fiedler, Jörg Kuklinski, Caroline Bachmat, Carsten Deseke",Manuel Hobiger,01 Min. 13 Sek.,Carsten mit 10 Punkten,050.000 €,,,
300,90,17. Sep. 2018,"Ramin Rachel, Stephanie Konopatzky, Debora Peppel, Alexander Klutzny",Sebastian Klussmann,01 Min. 45 Sek.,"Ramin, Debora mit 16 + 1 Punkten",055.500 €,,,
301,91,18. Sep. 2018,"Peter d’Alessio, Gabriele (Rela) von Sobeck, Friedrich Wegmann, Monika Röseler",Sebastian Jacoby,09 Punkte,"Peter, Rela mit 15 + 6 Punkten",005.500 €,,,
302,92,19. Sep. 2018,"Sabine Pagel, Thomas Schnegelsberg, Marcus Berndt, Isabell Kirsten",Thomas Kinne,01 Min. 13 Sek.,"Sabine, Thomas mit 11 Punkten",005.500 €,,,
303,93,20. Sep. 2018,"Christian Graeff, Christa Neuendorf, Herbert Jaschke, Louissa Fleischhut",Klaus Otto Nagorsnik,10 Punkte,"Christian, Christa mit 13 + 5 Punkten",008.500 €,,,
304,94,21. Sep. 2018,"Angelika Grosse, Oliver Hehr, Ulrike Funk, Kasimir Eckhardt",Thomas Kinne,01 Min. 45 Sek.,"Angelika, Ulrike mit 11 + 2 Punkten",021.500 €,,,
305,95,24. Sep. 2018,"Tom Hornuff, Jasmin Zimmermann, Sara-Louise Behlich, Daniel Reckel",Klaus Otto Nagorsnik,01 Min. 52 Sek.,Tom mit 7 + 1 Punkten,002.000 €,,,
306,96,25. Sep. 2018,"Michael Abbink, Elisa Heuser, Dagmar Brettschneider, Moritz Göttel",Sebastian Klussmann,01 Min. 50 Sek.,Dagmar mit 8 + 1 Punkten,004.500 €,,,
307,97,26. Sep. 2018,"Felix Schmidt, Monika Kruse, Christina Fries, Mirco Schulz",Manuel Hobiger,01 Min. 44 Sek. (fehlerlos),"Felix, Monika mit 9 Punkten",005.000 €,,,
308,98,27. Sep. 2018,"Roland Fink, Nada Dvorsak, Maximilian Aracena, Nadine Neumann",Thomas Kinne,10 Punkte,"Maximilian, Nadine mit 13 + 3 Punkten",021.500 €,,,
309,99,28. Sep. 2018,"Nasreddine (Nasri) Chaali, Anneke Kröger, Caroline Pawlik, Daniel Dolesik",Sebastian Jacoby,01 Min. 45 Sek.,Nasri (alle ausgeschieden) mit 13 + 2 Punkten,000.500 €,,,
310,01,18. Juni 2019,"Anija Büttner, Friedrich „Fritz“ Burger, Bernd Albrecht, Hannah Bauer",Klaus Otto Nagorsnik,13 Punkte,Bernd (alle ausgeschieden) mit 14 + 2 Punkten,000.500 €,,,
311,02,19. Juni 2019,"Anika Keil, Thomas Beier, Clemens Ernst Kischko, Nina Becker",Sebastian Jacoby,01 Min. 25 Sek.,Thomas mit 15 Punkten,003.000 €,,,
312,03,20. Juni 2019,"Carsten Clauer, Cornelia Horn, Timo Münzing, Jeannine Sennewald",Thomas Kinne,01 Min. 31 Sek.,"Carsten, Cornelia, Timo, Jeannine mit 12 + 2 Punkten",011.000 €,,,
313,04,21. Juni 2019,"Tina Gehrke, Uwe Fuchs, Manuela Blattner, Andreas Büdenbender",Sebastian Klussmann,01 Min. 33 Sek. (fehlerlos),Manuela mit 5 Punkten,003.000 €,,,
314,05,21. Juni 2019,"Marion Sprogis, Peter Berg, Franziska Dietz, Mario Below",Manuel Hobiger,01 Min. 41 Sek.,"Marion, Franziska, Mario mit 14 + 2 Punkten",011.000 €,,,
315[Anm. 8][19],06,22. Juni 2019,"Martina Kähler, Christoph Creutz, Susanne Stolpmann, Dorian Memmer",Klaus Otto Nagorsnik,01 Min. 53 Sek.,"Christoph, Dorian mit 13 + 1 Punkten",020.001 €,,,
316,07,25. Juni 2019,"Thomas Barth, Tami Beer, Renate Boos, Oliver Neumann",Klaus Otto Nagorsnik,01 Min. 51 Sek.,"Renate, Oliver mit 13 + 2 Punkten",031.500 €,,,
317,08,26. Juni 2019,"David Schmalstieg, Christine Haase, Beate Büchner, Florian Christiansen",Sebastian Jacoby,01 Min. 15 Sek.,"Christine, Beate mit 10 + 1 Punkten",007.500 €,,,
318,09,27. Juni 2019,"Volker Bammel, Elena Martinez, Carina Bayer, Christoph Clausen",Klaus Otto Nagorsnik,15 Punkte,"Volker, Elena mit 17 + 2 Punkten",007.500 €,,,
319,010,28. Juni 2019,"Nancy Hanschmann, Hartmut Döhl, Sabine Zimmermann, Bodo Hübner",Sebastian Klussmann,01 Min. 45 Sek.,"Nancy, Hartmut mit 13 + 2 Punkten",007.500 €,,,
320,011,28. Juni 2019,"Manuel Andre, Sappho Çoban, Claudia Hillebrand-Adam, Jan de Cat",Thomas Kinne,01 Min. 14 Sek.,"Manuel, Sappho, Jan mit 11 Punkten",009.500 €,,,
321,012,1. Juli 2019,"Anna Ewald, Denis Buron, Heike Hoffmann, Peter Freund",Sebastian Jacoby,01 Min. 42 Sek.,"Anna, Heike, Peter mit 14 + 3 Punkten",030.000 €,,,
322,013,2. Juli 2019,"Jessica Hahn, Simon Bleckmann, Stefanie Hartmann, Knut Gailus",Sebastian Klussmann,09 Punkte,"Jessica, Simon, Knut mit 15 + 7 Punkten",034.000 €,,,
323,014,3. Juli 2019,"Monika Bürgel, Jan Alsleben, Elke Lehnert, Gerd Hüllenkremer",Manuel Hobiger,01 Min. 25 Sek.,"Monika, Elke mit 11 + 2 Punkten",006.000 €,,,
324,015,4. Juli 2019,"Sophia Voronin, Hans-Jürgen Domnick, Irene Ritthammer, Christof Bango",Sebastian Klussmann,01 Min. 38 Sek.,"Sophia, Irene mit 15 + 1 Punkten",030.500 €,,,
325,016,5. Juli 2019,"Jürgen Wittmann, Evelyn Lappel, Bernd Beigl, Birgit Klaus-Grande",Klaus Otto Nagorsnik,01 Min. 47 Sek.,"Jürgen, Evelyn, Birgit mit 15 + 1 Punkten",029.500 €,,,
326,017,5. Juli 2019,"Alexandra Hohmann, Klaus-Peter Pinnisch, Gabriele Kammler, Jaques Hendrik Scharpenack",Sebastian Jacoby,17 Punkte,"Gabriele, Jaques mit 20 + 4 Punkten",008.000 €,,,
327,018,8. Juli 2019,"Radoje Kresoja, Nina Schenk, Daniel Bauer, Christina Lucia Eichmann",Sebastian Klussmann,01 Min. 36 Sek.,"Nina, Daniel, Christina mit 16 Punkten",024.000 €,,,
328,019,9. Juli 2019,"Margrid Martens, Stefan Bosch-Faerber, Caroline Löser, Manfred Bauer",Sebastian Jacoby,01 Min. 47 Sek.,"Margrid, Stefan, Manfred mit 19 + 1 Punkten",032.000 €,,,
329,020,10. Juli 2019,"Patrick Uhlmann, Marina Marschner, Katharina Frank, Klaus Barton",Manuel Hobiger,15 Punkte,Katharina mit 17 + 2 Punkten,025.000 €,,,
330,021,11. Juli 2019,"Jochen Brockmeier, Elisabeth Benninghof, Christa Strüber, Carsten Gülzow",Klaus Otto Nagorsnik,01 Min. 21 Sek.,"Jochen, Christa, Carsten mit 14 Punkten",030.500 €,,,
331,022,12. Juli 2019,"Danny Gerstle, Laura Casper, Herbert Franken, Ursula Schreiber",Sebastian Jacoby,10 Punkte,"Danny, Laura, Herbert mit 19 + 5 Punkten",008.000 €,,,
